"id","word","nature","index_word"
1,"拿到","v",1
1,"出去玩","n",2
1,"评价","n",3
1,"机","n",4
1,"质量","n",5
1,"看剧","x",6
1,"爽","nr",7
1,"操作","v",8
1,"简单","a",9
1,"物流","n",10
1,"很快","d",11
1,"赞赞","x",12
1,"赞赞","x",13
1,"赞赞","x",14
2,"棒","zg",1
2,"超级","b",2
2,"清晰","a",3
2,"语音","n",4
2,"系统","n",5
2,"师傅","nr",6
2,"耐心","a",7
2,"讲解","v",8
2,"工作","vn",9
2,"挂","v",10
2,"特别","d",11
2,"正","d",12
2,"反复","v",13
2,"量尺","x",14
2,"生怕","v",15
2,"挂","v",16
2,"歪","v",17
3,"家","q",1
3,"产品","n",2
3,"好用","x",3
3,"这款","r",4
3,"第一","m",5
3,"外形","n",6
3,"设计","vn",7
3,"比例","n",8
3,"高","a",9
3,"看着","v",10
3,"舒服","a",11
3,"包装","v",12
3,"质量","n",13
3,"包裹","v",14
3,"严严实实","z",15
3,"真的","d",16
3,"一点","m",17
3,"磕碰","v",18
3,"开心","v",19
3,"第三","m",20
3,"图像","n",21
3,"高好","x",22
3,"自动","vn",23
3,"调节","vn",24
3,"图像","n",25
3,"亮度","n",26
3,"无需","v",27
3,"手动","n",28
3,"省事","n",29
3,"老年人","n",30
3,"第四","m",31
3,"遥控器","n",32
3,"设计","vn",33
3,"特别","d",34
3,"简洁","a",35
3,"好用","x",36
3,"不用","v",37
3,"按键","n",38
3,"特别","d",39
3,"简洁明了","l",40
3,"第五","m",41
3,"挂","v",42
3,"放在","v",43
3,"桌上","s",44
3,"整体","n",45
3,"全家人","n",46
3,"喜欢","v",47
3,"这款","r",48
3,"凌晨","t",49
3,"拍","v",50
3,"下午","t",51
3,"送到","v",52
3,"送货","v",53
3,"速度","n",54
3,"给力","x",55
3,"漂亮","a",56
3,"超薄","a",57
3,"边框","n",58
3,"清晰","a",59
3,"手机","n",60
3,"拍出来","v",61
3,"照片","n",62
3,"颜色","n",63
3,"发蓝","n",64
3,"内置","n",65
3,"小爱","x",66
3,"智能","n",67
3,"更好","d",68
3,"语音","n",69
3,"唤醒","v",70
3,"智能家居","nr",71
3,"总体","n",72
3,"快递","v",73
3,"小哥","n",74
3,"很快","d",75
3,"收到","v",76
3,"服务","vn",77
3,"够","zg",78
3,"大够","x",79
3,"薄","a",80
3,"外观","n",81
3,"很漂亮","n",82
3,"画面","n",83
3,"声音","n",84
3,"清晰","a",85
3,"操作","v",86
3,"简单","a",87
3,"满意","v",88
3,"好评","v",89
3,"奉上","x",90
4,"物流","n",1
4,"很快","d",2
4,"送到","v",3
4,"家里","s",4
4,"够","zg",5
4,"清晰","a",6
4,"看着","v",7
4,"舒服","a",8
4,"家里","s",9
4,"网络","n",10
4,"数字","n",11
4,"费","v",12
4,"省","n",13
4,"嘻嘻","z",14
4,"嘻嘻","z",15
4,"画面","n",16
4,"清晰","a",17
4,"开","v",18
4,"标清","x",19
4,"清晰","a",20
4,"音质","n",21
4,"系统","n",22
4,"流畅","a",23
4,"遥控器","n",24
4,"按键","n",25
4,"方向键","n",26
4,"确认","v",27
4,"键","n",28
4,"按错","x",29
4,"性价比","n",30
4,"高","a",31
4,"值得","v",32
4,"购买","v",33
4,"第一次","m",34
4,"真的","d",35
4,"过乐视","x",36
4,"感觉","n",37
4,"值得","v",38
4,"推荐","v",39
4,"一段时间","l",40
4,"追评","x",41
5,"价格","n",1
5,"实惠","vn",2
5,"质量","n",3
5,"屏幕","n",4
5,"尺寸","n",5
5,"够","zg",6
5,"特别","d",7
5,"清晰","a",8
5,"语音","n",9
5,"功能","n",10
5,"搜索","v",11
5,"看着","v",12
5,"舒适","a",13
5,"家人","n",14
5,"满意","v",15
6,"机","n",1
6,"清晰度","n",2
6,"多功能","b",3
6,"后续","v",4
6,"探索","v",5
6,"中","f",6
6,"希望","v",7
6,"第一台","m",8
6,"索尼","nr",9
6,"一二","m",10
6,"师傅","nr",11
6,"快速","d",12
6,"到位","v",13
6,"麻利","nr",14
