ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
油痘肌用完怎么感觉很紧绷，是我毛孔太大了吗？,2019-11-19 22:42:33,可能是皮肤太缺水，你可以先敷一片面膜再用。,2019-08-28 12:54:35,2019-08-28 14:40:09
是不是洗完脸之后直接抹脸上啊,2019-11-23 01:27:08,倒在手心然后用力啪在脸上，前期只能啪右脸，脸红就是这个爽肤水的最佳效果,2018-10-17 15:21:59,2018-10-17 15:22:25
化妆用这个可以吗？,2019-09-13 18:33:39,可以,2019-09-13 17:36:59,2019-09-13 18:33:38
亲们这款产品适合痘痘肤质用吗？,2019-09-26 14:52:19,二五眼,2019-09-26 13:45:01,2019-09-26 14:52:19
一瓶大概能用多久。,2019-03-30 13:50:20,一天两次用一个月没问题，最好把它倒进一个小喷壶里用最好,2019-03-30 13:50:17,2019-03-30 13:50:20
味道香不香,2019-07-21 04:54:31,不是太香，味道不刺鼻，很舒服,2019-07-01 21:10:14,2019-07-01 21:10:20
这个可以缩小毛孔吗,2018-07-16 13:36:20,就是保湿加点控油 对皮肤滋润,2018-04-30 10:43:34,2018-04-30 10:45:14
这个是搽脸油吗,2018-07-25 10:11:37,水，还行吧,2018-07-25 10:11:37,2018-07-25 10:11:55
可以涂手吗？,2019-02-17 15:53:19,可以啊。效果不错的。,2019-02-17 15:53:18,2019-02-17 15:53:25
可以增白吗？,2018-11-16 20:40:40,不可以吧,2018-11-16 20:40:40,2018-11-16 20:40:45
是直接喷在脸上吗？,2018-08-12 12:12:03,只可以用左脸🌝,2018-08-12 12:12:03,2018-08-12 12:12:15
这款可以补水，锁水吗？,2019-01-28 14:19:03,不错，很好用的,2019-01-28 14:19:02,2019-01-28 14:19:05
洗完脸  脸部太干了  这个可以吗,2019-01-07 00:20:06,可以的,2019-01-07 00:20:06,2019-01-07 00:20:10
你好！请问用这个爽肤水可以使脸变白变年轻吗？,2019-02-05 12:05:15,皮肤舒适度可以  得配合保湿霜使用,2019-02-05 12:05:14,2019-02-05 12:05:20
15--16岁可以用吗,2018-11-12 08:27:53,可以,2018-11-12 08:27:53,2018-11-12 08:28:15
闻着是什么味的,2019-01-15 23:07:59,没味,2019-01-15 23:07:59,2019-01-15 23:08:05
这个什么味道呀,2018-06-20 23:45:23,略有点腻,2018-06-20 23:45:23,2018-06-20 23:45:30
女生可以用吗？,2018-12-05 20:55:35,用了肯定没什么问题护肤品而已，但是女士的比较柔和，比较适合女士柔嫩的皮肤！,2018-09-14 10:52:02,2018-09-16 11:26:46
去黑头效果怎么样,2018-11-12 08:27:43,没有去黑头的,2018-10-13 10:21:22,2018-10-13 10:21:35
这个有用吗？脸部干还有痘痘还有斑点，能对症吗？,2018-10-14 14:21:47,对面部干有效,2018-10-14 14:21:47,2018-10-14 14:22:00
油性皮肤用这个有用吗,2018-10-14 14:22:47,有用,2018-06-29 23:33:38,2018-06-29 23:34:05
就用这一个可以吗,2019-08-28 16:00:25,可以呀,2019-08-28 14:37:45,2019-08-28 16:00:25
这个爽肤水和哪个同时用最好,2019-08-28 16:18:36,不知道。我反正是和精华液用,2019-08-28 14:32:43,2019-08-28 16:18:36
早上9点能用吗,2018-12-15 23:58:31,可以的,2018-12-15 23:58:31,2018-12-15 23:58:35
含有酒精吗,2018-12-02 09:41:42,有的,2018-12-02 09:41:42,2018-12-02 09:41:45
这个可以和润肤乳用吗,2019-01-25 11:17:47,可以,2019-01-25 11:17:47,2019-01-25 11:17:50
洗了脸摸了这个  还能擦大宝么？,2019-01-07 13:03:22,应该可以的,2019-01-07 13:03:22,2019-01-07 13:03:25
这个是正品吗？怎么那么便宜？,2018-04-11 17:42:59,可以的，不错,2018-04-11 17:42:59,2018-04-11 17:43:15
单独用这个就可以，还是说需要再买一个保湿乳,2019-01-10 17:53:12,冬天没零下的地方用这个就可以。北边的话肯定要再用霜或者乳的,2019-01-10 17:53:12,2019-01-10 17:53:15
混合性皮肤能用吗,2019-01-03 17:57:38,可以用的用过感觉很舒服的,2019-01-03 17:57:38,2019-01-03 17:57:40
为什么我买回来用了一次，第二天脸上就长痘痘了，是过敏吗？？？,2018-12-20 01:07:02,我也是，我继续用着呢,2018-12-20 01:07:02,2018-12-20 01:07:05
能缩小毛孔吗，真的好吗这种,2018-09-26 19:56:41,挺好用的,2018-08-24 06:23:39,2018-08-24 06:23:55
用洗面奶洗完脸以后，用毛巾擦干以后就可以抹这款然然后什么都不用抹了是吗,2018-12-19 15:59:12,油性皮肤用了保湿水就可以了。中性皮肤也可以加用保湿霜，效果更好。,2018-12-19 15:59:12,2018-12-19 15:59:15
用了能减少T区的出油量吗？,2019-04-20 13:28:25,可以,2019-04-20 13:28:18,2019-04-20 13:28:25
有痘痘的能用吗,2019-04-19 19:58:25,可以啊,2019-04-19 19:58:21,2019-04-19 19:58:25
我是油性皮肤。冬天洗了脸很干。现在夏天洗了脸一直出油。还脱皮&hellip;这个管用吗，有没有用过的说下呀。油油的烦死了,2019-04-11 10:29:50,很好用  我脸很干 用了两天之后就没有那种感觉了,2019-04-11 10:29:44,2019-04-11 10:29:50
这产品都是没盒子包装的吗？直接一个袋子发过来的。。,2018-09-25 00:22:45,没有盒子的,2018-09-21 22:04:32,2018-09-21 22:04:35
我想飞，用完可以飞吗？,2019-10-01 02:59:25,可以飞的,2019-05-28 19:16:21,2019-06-07 11:42:16
