ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
晒后修复可以吗？,2019-11-27 00:33:38,还行,2019-11-23 08:30:24,2019-11-23 10:53:10
有正反么,2019-11-28 09:49:39,几乎不分正反的,2019-11-22 14:18:18,2019-11-22 15:00:14
脸上的毛孔全是油脂，这款面膜管用吗？,2019-11-21 17:12:50,很好👍,2019-11-13 09:37:43,2019-11-13 13:14:55
今天买两套一共多少张,2019-11-27 18:39:30,36张,2019-11-23 13:12:05,2019-11-23 16:16:24
长痘的能用吗，会不过敏,2019-10-18 15:18:43,反正补水效果很强很好用。,2019-10-12 12:16:28,2019-10-12 13:53:13
有没有副作用？,2019-11-18 01:13:24,我买了三次。双十一买了二套加洗面奶,2019-11-17 13:30:09,2019-11-18 01:13:24
只有我一个sb是149买的吗？,2019-11-17 16:10:06,我买了好多次。都没这么贵,2019-11-17 13:28:36,2019-11-17 16:10:06
敷完面膜需要洗脸么,2019-05-06 22:37:55,说明书上说要、按摩后清水洗净,2019-04-29 00:17:09,2019-04-29 00:17:15
这个用完用洗脸吗,2019-11-27 19:12:51,清水洗脸   不要用洗面奶,2019-11-17 16:10:13,2019-11-17 19:48:54
尺寸是多大的，面膜贴在脸上，会有一小半皮肤贴不到吗，皮肤裸露着。贴几次面膜，会不会出现脸的中间部位和边缘部位肤色不一样，以前用的面膜尺寸很小，贴在脸上，顶多贴一半多些的皮肤,2019-11-04 12:48:05,不能，除非你脸特别大,2019-11-04 11:04:29,2019-11-04 12:48:05
这款面膜有去痘印的效果吗,2019-11-17 17:46:43,暂时没看出来,2019-11-04 11:04:09,2019-11-04 12:49:18
这个可以和其他牌子的面膜混着用么？,2019-09-28 15:05:09,能用,2019-09-28 14:59:22,2019-09-28 15:05:09
这个除了敷脸还可以敷哪呀,2019-11-04 14:29:22,脖子都可以，看你个人爱好,2019-11-04 12:40:30,2019-11-04 14:29:22
多大年龄合适,2019-11-18 10:22:28,都行,2019-11-04 11:03:34,2019-11-04 12:52:05
油性皮肤，有痘痘痘印可以用吗？能去痘印吗？,2019-11-04 12:52:44,可以用,2019-10-23 12:17:50,2019-10-23 13:12:54
能控油补水吗,2019-11-27 19:19:04,很好用,2019-11-17 20:29:25,2019-11-17 23:53:56
脸上干燥脱皮管用吗？,2019-11-19 10:18:56,可以 保湿的,2019-11-12 11:54:53,2019-11-12 16:41:27
这个是20片混合还是只是一种,2019-06-27 14:22:25,同一种，20片,2019-04-18 10:50:09,2019-04-18 10:50:15
请问黑色吓人吗？,2019-03-16 15:14:30,有点,2019-03-16 15:14:27,2019-03-16 15:14:30
请问面膜常温放着就行还是需要冷藏,2019-08-20 21:39:55,常温就行,2019-07-25 22:02:13,2019-07-25 22:02:15
这款面膜可以反复使用吗？,2019-08-16 20:10:38,可以的，我都是每次用完了放在冰箱，然后第二次用的时候有在袋子里面占点精华液继续用,2019-08-16 19:56:18,2019-08-16 20:10:38
欧莱雅好用吗？,2019-09-07 10:46:56,用大宝吧   欧莱雅没效果,2019-09-07 08:58:32,2019-09-07 10:46:56
收缩毛孔吗,2019-08-05 08:27:53,补水保湿，效果一般，毕竟价钱在那里,2019-08-04 18:18:39,2019-08-05 08:27:53
这款能去黑头吗？,2019-09-02 11:30:53,不能，主要是补水控油细致毛孔的。和黑头没半点关系。,2019-09-01 18:16:28,2019-09-02 11:30:53
一周做几次面膜呀？睡前使用吗？,2019-07-03 11:37:35,三次这样做最好，尽可能睡前,2019-07-03 11:37:29,2019-07-03 11:37:35
多少片啊，好不好用,2019-05-08 14:43:55,用完感觉脸光滑了很多,2019-04-30 09:48:53,2019-04-30 09:48:55
什么时间敷最好,2019-08-12 17:40:02,晚上睡觉前 先用温水把脸洗干净 再用热毛巾敷脸五分钟把毛孔打开在敷面膜,2019-08-12 17:18:41,2019-08-12 17:40:02
什么手表适合20岁的人！男！,2017-11-16 09:38:24,這個得看你平時生活屬什麼類型,2017-11-16 09:38:24,2017-11-16 09:38:30
这个面膜干性皮肤可以用吗可以补水吗,2019-08-07 02:05:48,挺好用的，用起来很舒服,2019-08-07 01:18:21,2019-08-07 02:05:48
有没有刺痛感啊,2019-05-27 18:09:52,就第一用有，用完一次就不会有了，用了一次用不同功能的也没有刺痛，,2019-05-21 17:45:47,2019-05-21 17:45:50
请问17岁能用吗,2019-07-27 07:48:25,可以,2019-07-27 07:48:23,2019-07-27 07:48:25
用完后要涂水凝露吗,2019-04-28 23:18:05,可以,2019-04-28 23:17:58,2019-04-28 23:18:05
可以每天用么,2019-05-27 18:13:02,可以，按说明用,2017-11-17 18:40:37,2017-11-17 18:40:40
包装为什么没有封口 贴呢,2019-08-03 10:47:58,有,2019-08-03 08:19:08,2019-08-03 10:47:58
男，外油内干型皮肤适合用这个嘛？,2019-05-19 22:42:35,适合,2019-05-19 22:42:29,2019-05-19 22:42:35
用的感觉怎么样,2019-09-07 10:49:53,不咋滴,2019-09-07 08:56:46,2019-09-07 10:49:53
黑色好蓝色好还是红色好,2019-05-26 17:54:10,各有各的好,2019-04-28 23:14:15,2019-04-28 23:14:20
一片能多少次,2019-05-27 18:06:22,只能用一次,2017-11-17 18:38:49,2017-11-17 18:38:55
有没有祛斑的效果,2019-06-15 20:28:15,保湿补水的,2019-06-15 20:28:11,2019-06-15 20:28:15
能祛痘吗？,2019-08-26 07:30:31,面膜有利于各种痘痘成长等等,2019-08-25 14:44:36,2019-08-26 07:30:31
需要洗面奶先洗脸，在敷面膜吗？,2019-07-27 07:48:05,要啊,2019-07-27 07:48:00,2019-07-27 07:48:05
晒黑的脸能变白吗？,2019-07-23 14:57:44,可以的，你看迈克尔杰克逊天生通身黑，后来不就通身白了么。,2019-07-07 10:57:28,2019-07-07 10:57:35
贴完后不洗掉可以吗,2019-08-30 17:06:10,要洗的,2019-08-30 13:32:41,2019-08-30 17:06:10
脸部暗沉不光滑有效果吗？,2019-08-07 19:13:46,有的，效果挺好,2019-07-20 11:24:25,2019-07-20 11:24:30
请问拿出来是贴那一面的？有分的吗？,2019-07-27 07:47:15,都可以贴啊,2019-07-27 07:47:09,2019-07-27 07:47:15
问一下撕下来脸上会有黑色的面膜残渣么？,2019-05-27 18:06:12,不会啊,2019-05-21 17:47:23,2019-05-21 17:47:30
油性敏感皮肤可以用这款吗,2019-04-25 11:20:55,可以,2019-04-25 11:20:52,2019-04-25 11:20:55
面膜多长时间敷一次为佳,2019-05-21 17:49:40,一周两次,2019-05-21 17:49:36,2019-05-21 17:49:40
哪个面膜可以美白，晒黑的脸可以敷过来吗？,2019-07-02 20:57:55,都一个样,2019-07-02 20:57:52,2019-07-02 20:57:55
我想问一下这个是20片全部是黑膜吗？,2019-02-05 22:37:27,是的,2019-01-31 13:28:39,2019-01-31 13:28:45
洗脸以后   直接敷上去吗？,2019-03-05 21:45:34,嗯，敷完洗一下,2019-03-05 21:45:33,2019-03-05 21:45:35
我怎么觉得面膜可以重复用呢，用一次后还是粘粘的，里面精华液还有很多。可以把精华液挤出来，然后自己往脸上擦化妆品一样擦吗，擦完用干净的毛巾盖住脸。过十分钟清洗吗？\n我不是开玩笑的，用完脸根本没吸收多少。,2019-05-07 06:40:15,面膜没听说过还可以重复使用,2019-05-07 06:40:11,2019-05-07 06:40:15
我怎么记得以前买上20片。。。,2019-07-27 07:44:45,只买到过18片,2019-07-27 07:44:40,2019-07-27 07:44:45
欧莱雅官网没有面膜，京东这个面膜是正品吗，虽然我也是京东老客户了，谢谢,2017-11-16 09:32:57,為了顯示潮流也就買了,2017-11-16 09:32:57,2017-11-16 09:33:00
我觉得还行。,2019-03-05 21:44:24,涂点爽肤水就行，容易吸收毛孔不堵塞,2019-02-28 09:11:31,2019-02-28 09:11:35
我脸上有点逗印!也有点长痘，是油性皮肤 请问是买火山岩的还是碳爽的?那个比较好?,2019-04-30 08:58:30,火山,2019-04-30 08:58:25,2019-04-30 08:58:30
能不能给脸上的杂质去掉？祛痘印效果,2019-06-21 11:38:00,不能，想去痘痘留下来的红印可以去买欧莱雅红色的那瓶精华,2019-03-30 00:23:29,2019-03-30 00:23:35
怎么保存呢 放冰箱里可以吗？,2019-01-29 07:51:46,常温保存,2019-01-29 07:51:46,2019-01-29 07:51:50
有大号小号之分吗,2019-07-25 14:32:25,统一尺寸的,2019-07-25 14:32:23,2019-07-25 14:32:25
敷完要清洗么？,2019-01-14 15:57:53,清水洗一下,2019-01-14 15:57:53,2019-01-14 15:57:55
请问一下，为什么刚敷上去的时候有点辣辣的？,2019-05-27 18:06:32,因为皮肤不一样吧,2017-10-28 17:26:33,2017-10-28 17:26:40
有没有效果,2019-01-18 10:50:14,要长期用下去，才能看到效果,2019-01-18 10:50:14,2019-01-18 10:50:15
飞机航班延误了，小孩哭闹能不能解决问题？,2019-07-23 13:41:40,糊嘴里直接,2019-07-23 13:41:36,2019-07-23 13:41:40
每次敷面膜多少分钟好,2017-10-20 10:02:58,10--15分钟就行,2017-07-23 18:41:25,2017-07-23 18:43:56
敷完面膜不洗行不行,2019-01-14 16:05:54,清水洗一下,2019-01-14 16:05:54,2019-01-14 16:06:00
300g/ml和450g/ml什么意思？是规格大小吗？,2019-08-20 21:40:28,可能吧,2019-08-20 20:35:12,2019-08-20 21:40:28
送的六片和买的一样吗？谢谢,2018-03-07 19:25:37,我们不一样,2018-03-07 19:25:37,2018-03-07 19:25:45
7岁是大人还是小孩？,2019-07-23 13:42:45,也许你该给脑子放放水,2017-11-14 10:28:30,2017-11-14 10:28:40
请问 用这款面膜。 用起来  会不会过敏  或长痘痘,2017-10-05 09:26:43,我用过没有。,2017-10-02 15:26:03,2017-10-02 15:26:05
你们买的总共有多少片啊,2018-11-01 16:51:43,16,2018-03-18 10:01:13,2018-03-18 10:01:20
欧莱雅的面膜一直是建议用后清水冲洗，那做面膜还有效果吗,2019-05-27 18:11:02,还是有得吧,2017-12-16 00:40:32,2017-12-16 00:40:55
可以天天敷吗,2017-09-26 17:27:58,可以,2017-09-20 15:02:58,2017-09-20 15:03:05
贴完面膜可以用爽肤水吗？,2019-07-18 11:45:34,可以啊,2019-07-13 21:18:35,2019-07-13 21:18:40
这个面膜能淡化痘印吗？用了会不会过敏？,2019-05-27 18:05:30,沒什麽感覺,2017-11-19 17:18:33,2017-11-19 17:18:40
可以紧致毛孔吗,2019-05-27 18:12:08,没有吧,2017-10-16 17:29:05,2017-10-16 17:29:10
黑的好还是红的好，还是其他的,2018-12-24 11:59:52,我觉得红的,2018-12-24 11:59:52,2018-12-24 11:59:55
女士能用吗？,2019-04-08 16:57:55,男士的,2019-04-08 16:57:47,2019-04-08 16:57:55
这面膜美白不,2018-03-11 11:58:51,主要是太小了，不好敷,2018-03-11 11:58:51,2018-03-11 11:58:55
用不用可以不洗吗？,2019-05-27 18:12:16,最好是洗一遍,2017-10-28 17:18:39,2017-10-28 17:18:45
