ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
修的干净么,2019-11-26 22:22:13,干净,2019-11-26 21:05:36,2019-11-26 22:22:13
可以刮胡须吗,2019-11-28 09:43:38,你可以试试,2019-11-28 08:24:00,2019-11-28 09:43:38
不是二十八点八吗,2019-09-23 00:08:23,用的时候一定要小心，容易刮伤自己,2019-09-22 21:11:41,2019-09-23 00:08:23
初学者刮眉毛前要怎么做,2019-11-13 09:44:51,不知道,2019-11-13 08:11:29,2019-11-13 09:44:51
可以刮腿毛吗,2019-09-26 13:01:57,可以，想刮哪就刮哪,2019-09-25 19:25:06,2019-09-25 19:53:40
好用吗，容易划伤吗,2019-07-30 14:41:40,贝印眉刀好用 这里的不好说  我买了没有在代购的好用  而且印字也不清晰  手感呢没有质感  就像一个破铁片子  而不是刀,2018-02-20 13:39:07,2018-02-20 13:39:25
眉渣能修干净吗,2019-09-26 20:27:31,能，但刀尖很锋利，小心使用,2019-09-25 13:30:49,2019-09-25 14:13:27
可以换刀片么,2017-11-08 10:49:18,不可以,2017-11-08 10:49:18,2017-11-08 10:49:25
会不会用几次就钝了,2017-12-31 11:46:42,不会的哦,2017-12-31 11:46:42,2017-12-31 11:46:45
很锋利的吗,2018-04-16 21:14:59,我用着不是很顺手，不如我以前买的好用,2018-04-16 21:14:59,2018-04-16 21:15:20
这个可以刮身体吗,2017-11-21 04:21:56,只要你喜欢,2017-11-21 04:21:56,2017-11-21 04:22:00
男生可以修眉吗？,2018-05-24 10:51:09,为什么不能？这个分男女？,2018-05-24 10:51:09,2018-05-24 10:51:30
作为新手，这把刀会不会太锋利啊，很怕刮伤皮肤呢？？,2017-12-17 10:34:21,不会，这个刀很好用。不锋利的刀刮半天刮不掉才会让人痛啊。这个只要你掌握方法，修眉很简单的。,2017-09-24 08:25:54,2017-09-24 12:14:02
可以修眉笔吗,2017-12-15 08:25:13,粉色那款可以,2017-12-15 08:25:13,2017-12-15 08:25:30
火车可不可以带,2017-09-30 07:11:59,可以吧,2017-09-30 07:11:59,2017-09-30 07:12:05
这把会不会太长了啊，刀锋那么长，怎么好刮眉线下面的杂毛呢？。,2017-12-08 17:19:17,好用的1b,2017-12-08 17:19:17,2017-12-08 17:19:35
有男生买吗？😁😁,2019-09-10 04:15:51,买买买,2019-09-10 00:45:23,2019-09-10 04:15:51
可以刮鬓角下的头发吗？,2018-06-20 15:17:12,可以可以试下,2018-06-20 15:17:12,2018-06-20 15:17:35
送替换刀片吗？,2018-06-13 11:25:29,没有，一把都要用很久，何况5把,2018-06-13 11:25:29,2018-06-13 11:25:55
可以剃光头吗？麻烦吗？,2018-03-12 15:42:52,不麻烦,2018-03-12 15:42:52,2018-03-12 15:43:00
发哪个快递？,2018-02-27 12:54:56,京东吧,2018-02-27 12:54:56,2018-02-27 12:55:20
可以用来刮胡子吗     hhh？,2018-06-30 13:48:44,你可以试试，刮刮,2018-06-30 13:48:44,2018-06-30 13:49:05
刀片锋利吗？可以用来修胡子吗？,2019-04-11 19:54:45,胡须稀少还差不多，胡须多的就算了吧!,2019-04-11 19:54:41,2019-04-11 19:54:45
眉毛长这个可以修吗？怎么修。,2018-11-15 19:40:12,很好用，也便宜，比在店里买的好用多了,2018-11-15 19:40:12,2018-11-15 19:40:25
发货地是哪里的,2017-11-30 15:12:14,当地仓库,2017-11-30 15:12:14,2017-11-30 15:12:25
第一次自己修眉怎么弄，？？？,2018-03-24 15:29:03,刮,2018-03-24 15:29:03,2018-03-24 15:29:25
5把装的会不会浪费了，需要替换着用么？,2018-07-14 08:51:41,很好用，不可替换，用久了不锋利就直接不要了,2018-07-14 08:51:41,2018-07-14 08:52:05
发货地是哪里的，，，,2017-11-15 08:28:45,中国,2017-11-15 08:28:45,2017-11-15 08:28:50
长刀跟短刀有什么区别,2018-07-03 01:51:27,没有区别,2018-07-03 01:51:27,2018-07-09 10:43:06
这种长刀片跟短刀片有什么区别,2018-07-21 09:00:43,容易划出血，请小心使用。给男的刮胡子挺好,2018-07-21 09:00:43,2018-07-21 09:00:55
这个包装不是密封的吗？为啥盒子随便就能打开&hellip;&hellip;,2018-06-29 12:01:01,盒子就是这样的，简装嘛。修眉刀挺好用,2018-04-14 09:41:50,2018-04-15 17:24:30
红色和蓝色的有什么区别呀？,2018-06-30 15:31:14,蓝色带防护网，不会划伤皮肤,2018-04-08 21:10:01,2018-04-08 23:36:14
能不能带上高铁，飞机？,2017-06-25 08:59:24,能,2017-06-25 08:59:24,2017-06-25 09:00:00
高铁没问题，带过，飞机我是托运的，没有尝试随身,2017-07-01 15:06:13,飞机上可以托运,2017-07-01 15:06:13,2017-07-01 15:06:30
为什么京东卖这么贵啊，明明锋利度包装，都一样，我买的半价，难道是假货？,2018-06-20 15:48:41,你买的可能是促销的，正规渠道买的一般不用担心,2018-06-20 15:48:41,2018-06-20 15:48:50
需要运费吗,2018-10-27 13:58:39,不得吧,2018-10-27 13:58:39,2018-10-27 13:59:05
可以刮腋毛？,2018-08-12 22:21:41,刀片很快,2018-07-10 13:44:55,2018-07-10 13:45:10
