ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
这个能亮肤么,2019-09-14 17:05:51,亮肤好像不明显吧！,2018-07-04 22:36:27,2018-07-04 22:36:45
油性长痘的皮肤能用吗？,2019-09-22 18:36:45,可以用的，这个与痘痘没关系。,2019-09-18 09:15:04,2019-09-18 11:06:25
擦完芦荟胶再擦这个可以吗,2019-11-19 00:36:44,没必要，擦一种就行了,2019-11-10 18:50:00,2019-11-10 19:40:36
夏天可以使用吗？,2017-08-15 01:22:58,夏天用非常好，很清凉。,2017-08-15 01:22:58,2017-08-15 01:23:05
可以和防晒霜一起使用吗？,2017-08-15 01:22:08,从不混         搭使用。,2017-08-15 01:22:08,2017-08-15 01:22:15
为什么用了之后火辣辣的,2018-04-14 16:32:19,火辣辣说明皮肤太干了,2017-05-04 08:45:45,2017-05-04 09:16:20
这款精华露含酒精吗？,2017-10-27 19:10:07,不知道,2017-10-27 19:10:07,2017-10-27 19:10:10
用了能和吴彦祖一样帅吗？,2019-06-10 18:13:35,可以的，用了你就是最亮的仔。,2019-05-23 11:42:02,2019-05-23 11:42:05
这款挤出来的是白色还是桔红色,2018-12-11 14:15:26,淡兰色,2018-12-11 14:15:26,2018-12-11 14:15:30
乳液是什么颜色的？,2019-01-10 18:45:48,和瓶子的颜色一样 挺好用的,2019-01-10 18:45:48,2019-01-10 18:45:55
一年四季可以用这款产品吗,2018-09-24 02:25:09,可以,2018-09-24 02:25:09,2018-09-24 02:25:25
盖子怎么打开呀？按压挤不出来呃？,2018-05-03 16:02:55,逆时针转半圈，能感觉到打开了，就可以按压啦,2018-02-12 10:53:13,2018-02-12 10:53:48
这个可以天天用吗？如果不是，隔几天用一次比较好？,2019-05-04 18:15:30,天天用就行,2019-05-04 18:15:24,2019-05-04 18:15:30
油性皮肤可以用吗,2018-09-28 15:20:03,可以,2018-09-28 15:20:03,2018-09-28 15:20:25
直接擦脸上吗,2018-04-14 12:22:07,面膜啊,2018-04-14 12:22:07,2018-04-14 12:22:25
冬天可以用来保湿吗？,2018-03-03 23:49:38,可以,2018-03-03 23:49:38,2018-03-03 23:49:55
这是水，还是乳，还是霜？,2018-03-02 23:45:45,很好用，你可以去试试,2018-03-02 23:45:45,2018-03-02 23:46:10
这个是干嘛用的,2018-01-13 19:21:02,这个是润滑油，我家必备用品,2018-01-13 19:21:02,2018-01-13 19:21:05
这款和劲能醒肤露哪个好 功能一样吗,2018-04-12 23:02:12,当然这个,2018-04-12 23:02:12,2018-04-12 23:02:25
这个和蓝瓶的那款精华有什么区别啊？,2019-05-23 11:46:05,我觉得这个比较好用，毕竟比较贵哈哈,2019-04-10 21:35:35,2019-04-10 21:35:40
这个适合哪个季节用,2019-05-07 15:51:45,都通用吧，感觉秋季好点,2019-05-07 15:51:42,2019-05-07 15:51:45
真的好用吗，感觉噱头太大，按他的说法直接涂红牛也行？,2019-05-03 18:29:30,。。。。。。没有那么多噱头，就是还算清爽,2019-05-03 18:29:27,2019-05-03 18:29:30
这个是不是和霜功效差不多？,2019-03-24 17:32:20,不错,2019-03-24 17:32:14,2019-03-24 17:32:20
先用这个  还是先用醒肤露,2019-05-03 12:18:20,我单独用的,2019-05-03 12:18:15,2019-05-03 12:18:20
这款产品含维生素E吗？,2018-03-28 09:06:38,有一些,2018-03-28 09:06:38,2018-03-28 09:07:05
这个系列和醒肤系列有什么区别啊,2018-01-29 22:21:52,基本没有,2018-01-29 22:21:52,2018-01-29 22:21:55
这款精华露用后还用再加乳液吗，可以每天用还是像精华液一样一周只用两三次？,2018-04-06 14:37:50,不用,2018-04-06 14:37:50,2018-04-06 14:38:05
男士去皱皮质紧拉买哪款？,2018-03-06 23:45:11,红的,2018-03-06 23:45:11,2018-03-06 23:45:20
这个和普通的水凝露有什么区别啊,2019-08-15 00:46:25,补充肌肤营养,2019-08-15 00:27:10,2019-08-15 00:46:25
水凝露和精华露效果是一样的么我还用买霜么,2018-08-18 20:55:16,水凝露一般适合夏天，冬天效果不好；精华露啥季节也能抹。,2018-08-18 20:55:16,2018-08-18 20:55:35
这个用摸完后，还需要用劲能醒肤露吗？,2019-01-31 01:02:43,夏天就不要，天气冷在抹一下劲能，效果非常好,2019-01-31 01:02:43,2019-01-31 01:02:45
这个与同样瓶子叫活肤液的，是一个东西吗？,2019-01-04 01:49:24,区别不大基本一样,2018-12-10 22:16:17,2018-12-11 01:26:22
敷完补水面膜后，在用这两个吗？用完这个精华，还用在涂个擦脸油吗？我一点不懂，希望护肤的专家教教我。我现在就只有个补水面膜，跟擦脸油。,2019-08-29 10:10:28,这个是在润肤霜前面用，洁面，爽肤水，精华，润肤霜。,2019-08-29 08:22:47,2019-08-29 10:10:28
我买了两瓶怎么显示的1瓶,2017-12-30 10:53:45,客服问一下,2017-12-30 10:53:45,2017-12-30 10:54:05
这个能当爽肤水用吗？,2017-05-03 08:45:50,适合春季和冬天用。,2017-05-03 08:45:50,2017-05-03 08:45:56
这个适合油性肌肤用么，夏天能用么？,1970-01-01 08:00:00,写着赠品什么意思？,2018-12-24 14:44:37,2018-12-24 14:44:40
保质期多久,2018-06-26 16:48:18,已经不用了，按都按不出来，每次都得拧盖子，费劲,2018-06-26 16:48:18,2018-06-26 16:48:40
用着一段时间感觉皮肤发黄，停了之后又好些，你们有这样吗？,2019-11-23 10:54:04,有，抹完脸色暗沉蜡黄,2019-11-23 09:56:53,2019-11-23 10:54:04
