ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
用了这个睫毛夹，还要不要用睫毛膏？,2019-11-27 16:43:02,夹完再涂点睫毛膏效果好一些，睫毛夹夹后维持时间不长,2019-11-27 16:39:59,2019-11-27 16:43:02
你好，我是肿眼泡，眼睫毛有点短能夹起来吗？,2019-09-26 15:27:31,一般   这个夹的太容易恢复，保持不了卷翘效果,2019-09-26 14:40:54,2019-09-26 15:27:31
睫毛比较短能夹到吗,2019-02-22 22:53:59,可以的,2019-02-22 22:53:58,2019-02-22 22:54:05
质量怎么样 好用吗,2018-11-29 19:33:19,好用,2018-11-29 19:33:19,2018-11-29 19:33:25
这款和无印良品的哪款好用？,2019-01-11 16:57:45,无印良品以前很喜欢他们家的东西  现在觉得他们家也挺贵  这个不错便宜而且方便携带好用的呢,2019-01-09 09:21:08,2019-01-09 09:21:10
持久吗,2018-11-04 16:37:41,还挺持久的,2018-11-04 16:37:41,2018-11-04 16:37:50
好用吗?会夹到眼皮吗?新手可以用吗,2018-05-04 20:48:15,好用还便宜 真的推荐,2018-05-04 20:48:15,2018-05-04 20:48:40
是日本的吗？,2018-10-20 12:31:37,不知道，感觉挺好用的,2018-10-20 12:31:37,2018-10-20 12:32:00
推荐买吗，持久吗,2018-07-22 11:04:06,个人觉得持久，很翘～～,2018-07-16 20:04:38,2018-07-16 20:05:00
这不会夹断睫毛吗？只有一面的胶条,2018-05-06 01:38:06,不用力扯就不会掉,2018-05-06 01:38:06,2018-05-06 01:38:15
这个好受力 要不要特别大力气才能按下去夹到睫毛,2019-04-21 17:57:20,不需要大力，,2019-04-21 17:57:17,2019-04-21 17:57:20
可以夹下眼睫毛吗？,2019-04-10 18:42:35,可以,2019-04-10 18:42:30,2019-04-10 18:42:35
这个是正品吗,2018-11-14 22:16:22,是不是正品不知道，不过好用！,2018-11-14 22:16:22,2018-11-14 22:16:25
容易坏吗，我之前用过这种类型的，但是不出一个星期，那个轮轴的地方就坏了,2019-03-09 13:25:01,正在用，还不知道耐用与否。,2019-03-03 12:53:29,2019-03-03 12:53:35
