ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
会吸掉脸上的水份吗？,2017-12-27 22:26:30,吸油纸都会,2017-12-27 22:26:30,2017-12-27 22:26:35
男的可以用吗？,2019-10-01 01:47:17,油腻大叔专用,2019-07-24 12:06:40,2019-07-24 12:06:45
会越吸越油吗,2019-10-20 03:08:36,不会，而且很好用，只吸油不吸水,2019-10-19 22:03:12,2019-10-20 00:47:42
吸完油会脱妆吗要不要补妆？,2019-09-28 11:34:32,只吸油的，不吸妆,2019-09-28 09:55:50,2019-09-28 11:34:32
这个能吸头发吗？,2019-11-19 00:01:53,可以,2019-11-18 21:06:35,2019-11-19 00:01:53
有分正反面吗？,2018-01-27 14:03:17,不分的,2018-01-27 14:03:17,2018-01-27 14:03:35
哪个味道好用,2018-04-01 17:14:02,没香味吧,2018-04-01 17:14:02,2018-04-01 17:14:20
化妆后擦这个会掉妆吗,2017-10-24 17:06:06,不要用力推着擦，按着擦，不难的用力不会的，吸油效果很好，我就给隔壁同事用一次，她就自己买了，然后我们办公区这一片女生都买了,2017-09-27 23:07:47,2017-12-24 08:31:32
用了不会过敏吧？,2017-08-28 07:55:39,不会过敏,2017-08-28 07:55:39,2017-08-28 07:55:45
这个男士可以用吗,2017-09-04 11:32:34,可以啊，我就是男士,2017-09-04 11:32:34,2017-09-04 11:32:40
用的时候脸上有妆，有bb霜粉底液的时候需要卸妆吗,2017-10-18 12:17:08,不用卸妆就可以直接用吸油纸昂～～～,2017-10-18 12:17:08,2017-10-18 12:17:15
脸上有痘痘，可以用吗,2019-06-07 04:51:20,可以，有痘痘更要保持干燥,2019-06-07 04:51:17,2019-06-07 04:51:20
这个和曼秀雷敦比哪个好点啊？,2019-09-06 00:22:43,我一直用的这个  这个就很好了,2019-09-01 16:41:28,2019-09-02 07:24:07
皮肤会不会越用越油。。,2018-08-08 12:57:44,皮肤缺水才会造成水油失衡，我也是每天皮肤冒油好多，只能用这吸油纸解决下，平时要做好补水工作,2018-05-26 10:25:19,2018-05-29 08:53:50
15岁的可以用吗？会不会使毛孔放大,2019-07-17 13:29:30,我两岁用了一年了 不会使毛孔放大,2019-07-17 13:29:26,2019-07-17 13:29:30
会不会有臭味？就是一种塑料味。谢谢。,2018-10-19 15:49:42,不会,2018-10-19 15:49:42,2018-10-19 15:49:55
这款与乐肤洁比，哪款更好?,2017-11-21 11:01:04,我觉得这个好用,2017-11-21 11:01:04,2017-11-21 11:01:15
这个纸擦手机屏幕效果怎么样？,2018-11-16 22:19:55,擦屁股更好,2018-11-07 10:53:24,2018-11-07 10:53:45
这个是无味的吗,2017-08-24 13:45:08,没有,2017-08-24 13:45:08,2017-08-24 13:45:15
会不会把防晒霜一起吸走,2018-12-20 11:01:31,会的,2018-12-20 11:01:31,2018-12-20 11:01:35
有人用后感觉越用越油吗？  我第一次用这个，中午用一下，一张都不会吸满，现在用中午一张满满的,2017-09-15 20:16:32,不会呀,2017-09-15 20:16:32,2017-09-15 20:16:35
会不会有什么副作用.,2019-02-05 18:07:10,没有，挺好用，不会花妆,2019-02-05 18:07:09,2019-02-05 18:07:15
用了之后毛孔会变大吗,2018-07-20 10:08:49,不会,2018-07-20 10:08:49,2018-07-20 10:09:15
吸完油脸部需要抹一下爽肤水吗？,2019-07-12 20:17:15,不用的，只洗油不吸水,2019-07-04 17:22:02,2019-07-04 17:22:05
吸油减肥吗,2018-06-30 08:47:30,减肥啊 就是吸油纸的钱花的有点儿多,2018-06-30 08:47:30,2018-06-30 08:47:50
这个牌子的吸油纸，一天使用多次的话，会使毛孔粗大吗？,2019-08-01 16:37:15,不会，和这都没关系，物理吸油，干爽，显得皮肤哑光状态，特好,2019-08-01 16:37:13,2019-08-01 16:37:15
曼秀雷敦和这个哪个更好。,2018-07-21 01:59:47,两款都是膜，我都用过，没区别，颜色不一样，这个更划算一些,2018-07-21 01:59:47,2018-07-21 02:00:05
这款吸油效果怎么样？因为我的脸出油比较多,2018-06-12 16:38:06,吸你妹啊,2018-06-12 16:38:06,2018-06-12 16:38:25
亲们   蓝膜和粉膜有什么区别呢？,2018-10-11 16:01:20,粉膜略贵，但感觉用起来效果差不多,2018-10-11 16:01:20,2018-10-11 16:01:35
发的什么快递,2018-01-13 18:54:56,京东快递,2018-01-13 18:54:56,2018-01-13 18:55:15
这款和可怜可历比，哪款更好?,2017-11-17 13:27:31,这不就是吗,2017-11-17 13:27:31,2017-11-17 13:27:35
男士能用吗,2018-03-15 22:27:52,能，对付大油脸必备武器，用了好多年了,2018-01-31 16:49:43,2018-01-31 16:51:08
过敏皮可以用嘛?,2019-03-26 08:27:15,可以,2019-03-22 17:40:03,2019-03-22 17:40:05
这个实体店买的话哪里有得卖,2018-07-01 16:12:58,屈臣氏,2018-07-01 16:12:58,2018-07-01 16:13:20
怎么看成分呢？,2018-09-19 22:26:18,蓝膜就行,2018-09-18 15:07:30,2018-09-18 15:07:40
是光面的嘛？,2018-06-07 15:05:45,不是的,2018-06-07 15:05:45,2018-06-07 15:05:55
你们一次一张够用吗？我每次都要用两张才感觉吸干净,2018-03-13 02:17:38,每个人都不同情况，哪有规定的,2018-03-13 02:17:38,2018-03-13 02:18:00
这个多久用一次啊，是先护肤完了后用，还是先用再护肤呢,2018-06-07 09:21:50,觉得皮肤很油的时候就可以用，它的吸油能力还是很强的,2018-06-07 09:21:50,2018-06-07 09:22:10
一张可以用多久敷在脸上,2018-03-15 23:01:52,就是用来吸脸上的油的，不是用来敷脸的。,2018-03-15 23:01:52,2018-03-15 23:02:10
蓝膜和粉膜有什么区别吗,2017-08-24 13:46:24,没有，都是吸油的,2017-08-24 13:46:24,2017-08-24 13:46:30
这个要怎么用？,2018-05-23 11:20:45,直接在脸上吸油,2018-05-23 11:20:45,2018-05-23 11:21:05
一盒有多少张？,2018-04-20 11:20:58,60,2018-04-20 11:20:58,2018-04-20 11:21:05
我脸上容易长痘痘，目前痘印较多，T区出油厉害，请问可以用吗？你们用后什么感受，一天用几次啊？用完后需要喷雾吗？,2017-08-24 22:25:12,我一般是一天中午用一次,2017-08-24 22:25:12,2017-08-24 22:25:15
这个是正品吗,2019-08-06 09:48:01,是的,2019-08-06 07:57:18,2019-08-06 09:48:01
跟纸一样吗？容易撕烂？,2019-11-28 13:07:25,不会，不用撕扯它，哪里油了放哪里按压一下就好了,2019-11-26 09:52:03,2019-11-26 10:26:56
