ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
有人用了会有刺刺的感觉么？,2019-10-24 10:10:53,我用了过敏噗,2019-10-24 08:12:52,2019-10-24 10:10:52
给妈妈买的。40岁用可以嘛,2019-11-26 19:43:43,可以的,2019-11-26 19:25:47,2019-11-26 19:43:43
男孩子可以洗完洗面奶后 然后用这个有保湿效果吗,2019-11-26 22:15:03,可以,2019-11-26 21:11:43,2019-11-26 22:15:03
孕妇可以用吗,2019-11-26 21:10:06,可以,2019-11-26 20:47:34,2019-11-26 21:10:06
有没有用完起小疙瘩的，能挤出东西。,2019-11-20 17:19:27,没有，感觉挺保湿的,2019-11-20 17:06:48,2019-11-20 17:19:27
这个乳液是不是很油啊？,2019-11-26 15:18:08,我觉得还好,2019-11-26 11:18:51,2019-11-26 15:18:08
面霜和乳液哪个好,2019-11-28 08:09:18,都可以的,2019-11-28 07:34:04,2019-11-28 08:09:18
敏感肌角质层薄可以用吗？皮肤很脆弱，可以直接清水洁面用吗？还有就是这个用了可不可以直接上cc啊,2019-09-28 14:01:40,还行吧，我用完了以后有些不舒服，脸上会起红色的小疙瘩,2019-06-21 14:04:57,2019-06-21 14:05:00
请问是玻璃瓶吗,2019-11-17 22:19:37,塑料,2019-11-12 15:48:47,2019-11-13 00:42:39
请问这款乳液北方干皮适合吗？,2019-11-24 22:12:34,适合，挺滋润的,2019-11-18 14:52:48,2019-11-18 15:28:37
痘痘肌肤 敏感肌肤适合用吗？,2019-10-08 22:03:55,我属于敏感肌 用着还不错 第二瓶了,2019-02-01 12:26:07,2019-02-01 12:26:10
是正品吗各位,2019-11-03 14:19:05,应该不会吧，老婆说挺好的,2019-11-03 10:49:56,2019-11-03 14:19:05
我今天实体店买的，推销员推荐的，但是我是偏油性的，可以使用不,2019-11-03 14:14:32,啥都可以，先去油后保湿,2019-11-03 10:51:05,2019-11-03 14:14:32
这个和AHC比哪个好用,2019-10-22 15:25:23,这个好用,2019-10-22 12:59:39,2019-10-22 15:25:23
这款水和乳，敏感肌肤，干性皮肤，用几号啊？,2019-09-13 05:04:19,2号,2019-09-13 04:53:44,2019-09-13 05:04:19
瓶子上的图标是粘贴上去的还是印上去的啊,2019-09-13 05:04:19,印上去的,2019-09-13 04:54:09,2019-09-13 05:04:19
