ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
为什么比我之前买的都薄 袋子颜色也偏黄,2019-11-26 23:53:27,没有这种感觉,2019-11-26 23:15:51,2019-11-26 23:53:27
厚不厚，适合卸妆吗,2019-10-26 16:43:54,适合,2019-10-26 16:13:46,2019-10-26 16:43:53
这个厚吗？一次一片会不会薄？,2019-10-27 18:03:53,不会，刚刚好！,2019-10-27 17:11:23,2019-10-27 18:03:53
这个是直接可以卸妆的对吗？不用在和卸妆水一起用吧？,2019-11-28 16:04:03,还是要卸妆水的,2019-11-28 15:01:44,2019-11-28 16:04:03
好不好用啊,2019-03-26 12:58:35,好用，我一直都是用的这款，柔软顺滑细腻,2019-03-26 12:58:29,2019-03-26 12:58:35
是单独包装还是三包粘在一起呢？以前的是粘在一起的撕都撕不掉而且很脏,2019-07-02 16:16:51,不脏,2019-06-26 13:42:49,2019-06-26 13:42:55
男士能用么,2019-05-17 09:20:15,我觉得可以,2019-05-17 09:20:11,2019-05-17 09:20:15
掉棉絮吗亲,2019-04-29 12:46:30,不掉，但容易破,2019-04-29 12:46:24,2019-04-29 12:46:30
可以洗完脸擦脸吗？,2019-05-17 09:20:00,可以的,2019-05-17 09:19:57,2019-05-17 09:20:00
请问这个是厚款的还是薄款的,2019-08-10 06:36:55,厚的 柔软,2019-08-10 06:36:28,2019-08-10 06:36:55
一次性的是吗,2018-06-27 08:49:19,肯定是啊,2018-06-27 08:49:19,2018-06-27 08:49:30
请问这个和贝朗得比感觉怎么样,2019-08-04 08:38:11,没有用过贝朗的，但是丽丽贝尔确实性价比很高，不掉渣,2019-08-03 19:13:45,2019-08-04 08:38:11
这个可以用来洗脸吗,2019-08-06 07:14:24,不能,2019-08-06 06:57:29,2019-08-06 07:14:24
可以擦乳液吗,2019-05-25 09:36:00,可以的,2019-05-21 21:30:59,2019-05-21 21:31:05
卸妆买哪一个,2019-05-28 20:14:15,这个就可以,2019-05-28 20:14:12,2019-05-28 20:14:15
绿色的好用还是白色的好用啊？,2019-08-04 08:40:47,两种都用过，感觉一样啊,2019-08-03 19:11:50,2019-08-04 08:40:47
亲，一包几片？,2019-06-26 13:42:20,222片,2019-06-21 12:58:27,2019-06-21 12:58:30
这个产品是否适合油性皮肤清理面部？,2018-08-06 14:27:56,都是可以的,2018-08-06 14:27:56,2018-08-06 14:28:15
只来用爽肤水的话，能用多少次,2018-08-06 14:27:19,数量超多,2018-08-06 14:27:19,2018-08-06 14:27:25
厚款好还是薄款好,2019-04-28 18:08:20,我个人觉得比实体店好用,2019-04-20 10:54:19,2019-04-20 10:54:25
厚款好还是薄款好，我主要用来拍神仙sk2爽肤水,2019-08-29 17:07:51,厚款,2019-04-25 02:19:14,2019-04-25 02:19:20
湿敷哪一种最合适？,2018-09-26 17:58:00,这个个人觉得厚了点,2018-09-09 23:00:33,2018-09-09 23:00:40
确定是真货吗？和我以前在屈臣氏买的不一样呢,2018-06-27 08:50:32,没在屈臣氏买过,2018-06-27 08:50:32,2018-06-27 08:50:45
三包是用非常粘的胶布粘在一起的，根本撕不下来，要拆开的话必须把包装撕破，因为是白色的撕了胶纸会很脏，大家分析一下卖家为什么要用这种胶纸添堵,2019-04-09 22:30:50,捡货方便,2019-03-23 18:03:41,2019-03-23 18:03:45
为什么用爽肤水的话，用力轻轻一挤，液体都是乳白色，棉布掉色？,2019-02-10 17:15:04,没有这种情况耶,2019-01-12 15:18:32,2019-01-12 15:18:35
多大尺寸的呀,2018-07-14 15:00:47,那么大,2018-07-14 15:00:47,2018-07-14 15:00:50
很好用，比实体店便宜,2019-04-25 11:51:10,是的,2019-04-25 11:51:06,2019-04-25 11:51:10
哪个系列是省水的呀？,2018-06-14 13:48:17,我用来卸妆的 质地很细 不摩擦皮肤 也可以撕开敷保湿水,2018-02-14 17:10:24,2018-02-14 17:10:40
京东装妆节与双11哪个优惠力度更大？打算一次性买多点，要是双11力度更大我就等双11了！,2019-04-29 12:45:00,差不多，都不大,2018-06-27 08:51:00,2018-06-27 08:51:10
这个和尤妮佳的比较怎么样呢？,2019-04-29 12:46:05,用来卸妆锁水性能和柔软度更重要，自行决定吧,2019-04-29 12:46:02,2019-04-29 12:46:05
大概可以用多久？,2019-04-11 07:29:35,每人需求量不同，一袋大约能用两个月,2019-04-11 07:29:28,2019-04-11 07:29:35
生产日期都是什么时候的？,2018-06-14 13:46:40,2021年3月,2018-06-14 13:46:40,2018-06-14 13:46:45
什么时候做活动？？？？？？我要囤货。,2018-06-14 13:51:10,现在就在做618的活动,2017-06-03 10:15:28,2017-10-02 20:04:00
是正品吗？有防伪码标签吗？,2018-07-02 15:11:00,没查，用来卸妆而已！！！,2018-07-02 15:11:00,2018-07-02 15:11:15
好用吗？是正品吗,2018-10-05 16:25:25,好用的,2018-10-05 16:25:25,2018-10-05 16:25:50
这个能拍化妆水吗,2018-06-27 08:51:52,费水,2018-06-27 08:51:52,2018-06-27 08:52:00
这个能用来拍化妆水吗,2018-06-14 13:50:39,可以的,2018-06-14 13:50:39,2018-06-14 13:50:55
请问各位会不会有那种很小的毛？,2019-11-22 17:24:39,才看到消息，没有掉毛,2019-11-11 01:11:01,2019-11-11 04:26:38
