ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
这种双眼皮贴硬吗,2019-11-28 11:52:11,还行,2019-11-28 10:39:57,2019-11-28 11:52:11
这个肿眼泡能撑起来吗？,2019-11-13 03:22:15,估计有点悬,2019-11-13 02:06:59,2019-11-13 03:22:15
这个贴上去不画眼影看得出来贴了双眼皮贴吗？,2019-10-30 14:47:50,看的出,2019-10-09 21:33:10,2019-10-10 00:31:54
请问各位小姐姐肿眼泡单眼皮可以贴吗,2019-10-23 16:38:35,可以的 没问题,2019-10-23 15:57:17,2019-10-23 16:38:35
如果不化妆贴的话明显吗，可以保持一天不掉吗,2019-11-06 00:56:28,不化妆的话还好吧，正常社交距离看不出来，但是我油皮，半天就得换,2019-11-05 23:15:19,2019-11-06 00:56:28
这个东西只有单面有胶，怎么贴啊,2019-11-20 17:53:14,方便快捷。撕下来一贴就OK。可以试试哦,2019-11-20 17:43:19,2019-11-20 17:53:14
800帖?是几张啊,2019-10-09 02:13:04,没数，挺好用的,2019-10-08 23:39:25,2019-10-09 02:13:04
上妆好用吗,2019-09-19 16:12:07,上妆了不好用，没上状之前用,2019-09-19 12:40:22,2019-09-19 16:12:07
我是本来就双眼皮，但是想改善双眼皮的形状，适合用双眼皮贴吗？如果用的话用那种呢？,2019-07-20 17:10:30,这款还挺自然的用起来也很方便的,2019-07-20 17:10:26,2019-07-20 17:10:30
我是男孩子 但是眼睛好小笑起来就是一条缝可以用这个看起来眼睛大点嘛,2019-09-19 13:45:16,男孩还是单眼皮好看,2019-09-19 11:51:11,2019-09-19 13:45:16
肿眼泡内双用着怎么样好不好啊？姐姐们，求正解。不要是托。。。,2019-07-21 14:28:40,挺好用的,2019-07-15 12:48:09,2019-07-15 12:48:15
好用吗  姐姐们,2019-06-07 17:45:50,挺好用的，质量挺好的,2019-06-07 17:45:44,2019-06-07 17:45:50
男生可以贴嘛,2019-04-27 21:06:35,卫生巾男的都可以用，还有什么不能用,2019-04-27 21:06:29,2019-04-27 21:06:35
学生可以用？,2019-05-24 08:23:55,可以,2019-05-17 17:21:04,2019-05-17 17:21:10
取下来不用卸妆水可以吗,2019-06-15 17:45:35,不用，一撕就下来了,2019-06-15 17:45:30,2019-06-15 17:45:35
粘的稳吗，还要不要自己涂胶水加固呢,2019-04-20 00:05:40,哥俩好,2019-04-18 09:39:28,2019-04-18 09:39:35
眼皮会不会过敏，我最害怕这个,2019-04-29 17:54:50,目前没有,2019-04-29 17:54:46,2019-04-29 17:54:50
内双贴上好看吗？,2019-05-06 05:26:20,贴上挺好的 效果很好,2019-05-06 05:26:15,2019-05-06 05:26:20
撕下来的话会很疼吗，会不会把眼睛拉伤,2018-10-16 13:32:24,不是那种粘贴，有点像便利贴那种的，很好撕,2018-10-16 13:32:24,2018-10-16 13:32:50
粘性怎么样？会不会贴不住？,2019-05-21 16:27:25,不会，粘性很好,2019-05-21 16:27:19,2019-05-21 16:27:25
经常贴眼皮会松吗？,2019-04-03 11:26:50,这个我不清楚，我觉得不会,2019-03-30 10:04:40,2019-03-30 10:04:45
这个出cos的话，化妆之后会不会很明显鸭(,2019-04-29 17:53:00,还行,2019-04-29 17:52:56,2019-04-29 17:53:00
贴了眼睛会变大吗,2018-08-19 08:45:22,看上去会大一点的,2018-08-19 08:45:22,2018-08-19 08:45:40
男的能用不,2019-02-13 22:07:27,可以哒,2019-02-13 22:07:26,2019-02-13 22:07:30
粘不粘呢？,2018-07-17 16:17:04,还可以,2018-07-17 16:17:04,2018-07-17 16:17:30
亲隐形效果怎么样，会不会粘度不行容易掉？？,2019-03-30 10:46:35,不会不会，粘度超好，撕的时候可能都费劲的那😂,2019-03-30 10:46:33,2019-03-30 10:46:35
我想问一下，眼皮比较薄，一只内双适合用双面的还是单面呢？,2019-05-15 10:52:20,单面的,2019-05-15 10:52:15,2019-05-15 10:52:20
是双面贴吗？,2018-11-23 19:34:19,单面贴，隐形效果不错，不过黏性不是特别大，久了会翘边,2018-11-23 19:34:19,2018-11-23 19:34:25
单面或双面贴的？,2018-11-28 19:04:04,没有。,2018-11-28 19:04:04,2018-11-28 19:04:05
问问用了很久的朋友，真能贴出永久的双眼皮吗？,2019-01-02 20:31:43,我的贴出来来了,2019-01-02 20:31:43,2019-01-02 20:31:45
眼贴是在用护肤品前用？还是后用？,2019-02-03 13:32:14,洗完脸就用,2019-02-03 13:32:13,2019-02-03 13:32:15
涂眼影的时候会不会卡线,2019-04-30 20:58:05,不会，很好用,2019-04-30 20:57:59,2019-04-30 20:58:05
单眼皮真的可以撑起来？,2018-10-06 17:27:42,可以的，买来试试,2018-10-04 11:14:36,2018-10-04 11:15:00
有没有男生进来看啊？,2019-05-02 20:49:50,眼皮上有印的贴不上,2019-05-02 20:49:45,2019-05-02 20:49:50
不知道好用么,2018-07-30 16:23:00,客观地评价一下：好用，不易脱落，爱美的女士放心购买～,2018-07-22 13:49:58,2018-07-22 13:50:05
怎么贴？没看清图便宜买了，单面胶怎么贴出双眼皮的效果？,2019-01-21 10:08:42,真不错 推荐买,2019-01-08 11:14:26,2019-01-08 11:14:30
这个好还是大创好啊（单眼皮）,2019-01-21 10:10:33,个人觉得这款挺好用的,2018-12-29 14:30:08,2018-12-29 14:30:15
这个怎么用,2019-02-13 07:49:02,洗完脸，不涂护肤品之前贴,2019-02-13 07:49:01,2019-02-13 07:49:06
你好\n我内双泡眼可以用什么样的,2019-01-21 10:08:53,内双贴了不舒服,2019-01-10 20:15:17,2019-01-10 20:15:20
素颜时用隐形吗,2018-11-23 19:29:58,贴好了还是蛮隐形的，不过建议一次贴好成型，这个粘性不是特别大,2018-11-23 19:29:58,2018-11-23 19:30:05
长期使用可以让眼睛变大吗？,2018-12-18 18:59:14,不能，这就是双眼皮贴而已啦,2018-09-25 15:22:05,2018-09-25 15:23:54
会不会贴久了就变双眼皮了,2018-11-12 17:35:25,不会,2018-09-28 18:48:36,2018-09-28 18:48:45
肿眼睛的好用吗,2018-11-23 11:48:31,挺好的，我用来修眼型的,2018-11-23 11:48:31,2018-11-23 11:48:35
支撑力强么,2018-09-24 11:20:23,还行,2018-09-24 11:20:23,2018-09-24 11:20:25
内双可以吗,2018-11-15 10:08:06,我就是 可以贴,2018-11-15 10:08:06,2018-11-15 10:08:15
男的可以用吗？该买哪种的，怎么贴,2019-01-21 10:06:42,男生女生都可以用,2019-01-21 10:06:42,2019-01-21 10:06:45
不用凝胶粘的住吗,2019-01-21 10:07:10,可以呀,2019-01-21 10:07:10,2019-01-21 10:07:15
各位小哥哥小姐姐 有谁是肿眼泡吗  能撑起来吗？？？,2018-12-25 22:21:04,东西确实不错，贴上一天都不掉,2018-12-24 00:02:51,2018-12-24 00:02:55
我的眼睛是内双，眼睛比较小，这个好用吗？选哪个比较好啊？,2019-07-06 12:44:48,好用，内双适合。,2018-12-25 22:22:21,2018-12-25 22:22:25
请问直接贴不上眼妆会看出来吗？,2018-11-10 13:07:40,贴不住,2018-11-10 13:07:40,2018-11-10 13:07:45
一个双眼皮贴可以用多久,2018-11-12 13:08:55,早上贴上，晚上可以撕下来，也可以不撕,2018-11-12 13:08:55,2018-11-12 13:09:05
一张能用多久,2018-10-16 12:55:48,一张能半个月吧,2018-10-10 10:41:52,2018-10-10 10:42:05
