ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
可以和高保湿面膜搭配使用吗,2019-09-14 10:34:21,可以,2019-09-14 08:08:58,2019-09-14 10:34:21
洗完脸了 涂在湿脸上还是把脸擦干了再涂？,2019-11-28 11:33:00,我是擦干喷了一层喷雾再涂,2019-11-28 10:53:49,2019-11-28 11:33:00
这个去黑头有效果吗,2019-11-27 11:35:49,挺好用,2019-11-05 07:58:41,2019-11-05 08:00:56
我就想问各位仙女，科颜氏这款都不带勺子的吗？然后用手挖？,2019-11-22 11:09:54,直接用手，哈哈哈,2019-11-22 10:39:55,2019-11-22 11:09:54
白天可以用吗,2019-11-15 11:25:25,我一般都是晚上用,2019-11-12 13:56:24,2019-11-12 16:23:52
这个牌子的怀孕可以用吗？,2019-11-19 17:04:38,不清楚，还是问下客服吧,2019-11-16 08:24:08,2019-11-16 10:33:54
这是撕拉式面膜还是水洗的呢,2019-11-12 22:44:41,水洗,2019-11-12 17:01:55,2019-11-12 22:44:40
去黑头效果好吗,2019-11-15 11:20:34,我不适合这款，皮肤比较敏感！,2019-11-11 20:52:46,2019-11-11 21:43:32
请问用完这个面膜之后一定要用收缩毛孔的吗,2019-11-20 12:08:53,这个面膜是清洁面膜，用完可以使用城野医生爽肤水,2019-11-20 11:58:43,2019-11-20 12:08:53
孕妇可以用吗,2019-11-04 10:22:24,还是不要用的好用，复用一些比较天然的，无副作用的,2019-09-15 10:14:50,2019-09-15 13:56:22
这是一次见效，还是长时间才有效果的呢,2019-10-18 15:17:18,坚持用才有效果,2019-10-18 13:22:36,2019-10-18 15:17:18
我想问下用完这个真有白头和黑头浮出来么？,2019-11-01 11:56:02,确实有些,2019-11-01 11:18:00,2019-11-01 11:56:02
是科颜氏白泥面膜好用，还是金盏花面膜好用？,2019-10-23 15:04:12,其实觉得很一般，并没有广告效果好。,2017-08-21 23:00:37,2017-09-06 16:34:36
请问一下是正品吗？,2019-09-11 15:29:20,感觉像假的，产品盖子上有不均匀水泥状圆圈，做工粗糙,2019-09-11 14:46:26,2019-09-11 15:29:20
面膜的内层封口怎么开了一个口？你们的呢,2019-10-08 13:34:00,一样，开了口，瓶身还挺脏的，感觉不是退货就是用过。。。心塞,2018-02-28 23:03:12,2018-02-28 23:03:25
涂抹之前要不要先拍点爽肤水？,2019-09-12 02:56:23,不用的这个是清洁面膜，你可以用完之后敷片面膜然后洗脸再涂水乳，那样你会发现你皮肤状态特别好，当然只是暂时的,2019-09-11 22:30:18,2019-09-12 02:56:23
好用吗？油皮毛孔大黑头多,2019-09-30 09:16:05,想用化妆品细致毛孔基本上是不现实的，不过这款白泥去油去黑头效果还是不错的。,2019-09-30 08:04:12,2019-09-30 09:16:05
这个干了以后是洗掉还是撕掉？,2019-10-18 16:26:19,洗掉,2019-10-18 14:53:06,2019-10-18 16:26:19
和悦木之源清洁面膜相比那个更胜一筹,2019-10-18 15:59:28,这个,2019-08-29 13:02:18,2019-08-29 17:56:00
这个男士可以用吗,2019-09-27 10:11:03,可以的啊,2019-09-27 09:00:37,2019-09-27 10:11:03
请问大家收到之后有刮子吗,2019-10-14 04:00:25,没有,2019-10-14 00:06:04,2019-10-14 04:00:25
我想咨询一下，首先这个一周用几次比较合适？还有就是这个用了以后，先用排针排出，然后敷补水的面膜，在用程野医生湿敷；还是先湿敷，在用补水面膜。 最后还想请问用这个搭配什么乳液，洗面奶，水，比较合适？,2019-08-16 17:02:58,一周最多两次，而且两次间隔时间不能太短，不然脸部屏障会破坏，从而变成敏感肌，脸部肌肤比较脆弱的，薄涂，出油多的地方厚涂，比如t区,2019-08-16 16:34:42,2019-08-16 17:02:57
这个深层清洁效果怎么样,2019-09-14 17:09:40,感觉挺好用的！,2018-04-12 06:25:49,2018-04-12 06:26:10
有香味的吗,2019-11-16 08:25:16,没有，一股白灰问道,2019-11-16 07:23:51,2019-11-16 08:25:16
一周用几次？？天天可以用吗？,2019-10-18 15:14:30,不能天天用。我一周用一两次,2019-10-18 13:23:16,2019-10-18 15:14:30
这款面膜用久了，毛孔会变大吗？,2019-10-18 15:11:32,不会，这是清洁毛孔的，用完敷点收毛孔的水,2019-10-18 13:24:34,2019-10-18 15:11:32
为什么我涂完脸上刺痛？过敏还是太缺水了？,2019-09-28 07:52:10,刚开始用我也有这种感觉  没有过敏的情况,2019-09-28 07:19:17,2019-09-28 07:52:10
我是油性皮肤，鼻子上有黑头，可以用吗,2019-09-12 03:06:56,当然可以我也是油性皮肤用完之后脸就不油而且变白水润皮肤状态就特别好，当然只是敷完之后,2019-09-11 22:25:02,2019-09-12 03:06:56
白头冒出来以后，用手抠掉吗。皱眉,2019-09-12 01:14:05,用粉刺针轻轻刮掉。,2019-09-09 10:59:25,2019-09-09 15:53:04
清洁效果怎么样？,2019-11-28 13:35:37,很好，一定要补水,2019-11-28 12:14:59,2019-11-28 13:35:37
请问脸颊有红血丝的能用这个吗？如果不能用的话，可不可以避开红血丝的地方敷？,2019-09-12 03:17:50,我脸上就有红血丝痘印都是红色的用了俩瓶了，我还是敏感肌，说实话用时间长只能说我个人感觉有点舒缓红血丝，姐妹你值得拥有,2019-09-11 22:19:46,2019-09-12 03:17:50
